dataYear,bornYear,age,gender,depressFrequency,SWB
2018,1958,60,女,有时,比较幸福
2018,1962,56,女,有时,说不上幸福不幸福
2018,1993,25,女,经常,比较幸福
2018,1967,51,女,有时,比较幸福
2018,1956,62,男,很少,说不上幸福不幸福
2018,1979,39,女,经常,比较幸福
2018,1936,82,男,经常,非常幸福
2018,1984,34,女,从不,比较幸福
2018,1935,83,女,有时,比较幸福
2018,1992,26,男,从不,比较幸福
2018,1938,80,男,很少,比较幸福
2018,1987,31,男,很少,比较幸福
2018,1957,61,女,很少,说不上幸福不幸福
2018,1951,67,女,有时,比较幸福
2018,1988,30,男,很少,比较幸福
2018,1990,28,男,从不,非常幸福
2018,1966,52,女,有时,比较幸福
2018,1957,61,女,很少,说不上幸福不幸福
2018,1990,28,男,从不,非常幸福
2018,1984,34,男,从不,比较幸福
2018,1961,57,女,从不,非常幸福
2018,1960,58,女,从不,比较不幸福
2018,1948,70,男,有时,比较幸福
2018,1996,22,男,有时,比较幸福
2018,1988,30,女,从不,比较幸福
2018,1960,58,男,很少,比较幸福
2018,1964,54,男,很少,非常幸福
2018,1987,31,女,从不,非常幸福
2018,1962,56,男,有时,比较幸福
2018,1941,77,男,从不,比较幸福
2018,1982,36,女,很少,非常幸福
2018,1940,78,女,从不,非常幸福
2018,1999,19,女,有时,比较不幸福
2018,1943,75,男,从不,比较幸福
2018,1962,56,男,有时,说不上幸福不幸福
2018,1959,59,男,从不,比较幸福
2018,1965,53,女,从不,比较幸福
2018,1988,30,男,很少,比较幸福
2018,1966,52,男,从不,非常幸福
2018,1951,67,男,很少,比较幸福
2018,1989,29,男,从不,非常幸福
2018,1940,78,女,很少,比较幸福
2018,1977,41,女,从不,比较幸福
2018,1953,65,女,经常,比较幸福
2018,1971,47,男,有时,比较幸福
2018,1964,54,男,从不,非常幸福
2018,1984,34,男,从不,比较幸福
2018,1963,55,男,有时,比较不幸福
2018,1962,56,女,从不,比较幸福
2018,1956,62,女,从不,比较幸福
2018,1957,61,女,从不,非常幸福
2018,1980,38,男,很少,比较幸福
2018,1945,73,男,很少,比较幸福
2018,1970,48,男,从不,非常幸福
2018,1949,69,男,从不,说不上幸福不幸福
2018,1990,28,女,很少,比较幸福
2018,1984,34,男,有时,比较幸福
2018,1965,53,男,从不,非常幸福
2018,1989,29,女,从不,非常幸福
2018,1979,39,女,从不,比较幸福
2018,1983,35,男,很少,比较幸福
2018,1968,50,女,很少,比较幸福
2018,1980,38,女,有时,说不上幸福不幸福
2018,1945,73,男,从不,比较幸福
2018,1988,30,女,很少,比较幸福
2018,1980,38,女,经常,比较幸福
2018,1992,26,男,从不,比较幸福
2018,1974,44,女,总是,说不上幸福不幸福
2018,1931,87,女,有时,比较幸福
2018,1945,73,男,从不,比较幸福
2018,1969,49,男,从不,比较幸福
2018,1967,51,女,从不,比较幸福
2018,1937,81,女,从不,非常幸福
2018,2000,18,女,有时,非常幸福
2018,1983,35,男,有时,比较幸福
2018,1956,62,女,有时,比较幸福
2018,1954,64,男,从不,非常幸福
2018,1976,42,男,从不,比较幸福
2018,1940,78,男,很少,说不上幸福不幸福
2018,1984,34,男,很少,比较幸福
2018,1983,35,女,从不,非常幸福
2018,1958,60,女,很少,比较幸福
2018,1963,55,男,很少,比较幸福
2018,1951,67,女,有时,比较幸福
2018,1934,84,女,从不,比较幸福
2018,1962,56,男,从不,比较幸福
2018,1987,31,女,从不,比较幸福
2018,1958,60,男,从不,非常幸福
2018,1939,79,男,从不,非常幸福
2018,1952,66,女,从不,比较幸福
2018,1982,36,男,从不,非常幸福
2018,1965,53,男,从不,比较幸福
2018,1939,79,女,很少,非常幸福
2018,1944,74,女,从不,非常幸福
2018,1962,56,女,很少,非常幸福
2018,1960,58,女,从不,非常幸福
2018,1990,28,女,很少,比较幸福
2018,1953,65,女,从不,非常幸福
2018,1973,45,男,很少,比较幸福
2018,1973,45,女,有时,比较幸福
2018,1949,69,女,从不,非常幸福
2018,1953,65,男,很少,比较幸福
2018,1969,49,男,总是,非常不幸福
2018,1953,65,男,从不,比较幸福
2018,1972,46,男,从不,比较幸福
2018,1987,31,女,从不,非常幸福
2018,1982,36,男,有时,非常幸福
2018,1951,67,女,有时,比较不幸福
2018,1989,29,男,很少,比较幸福
2018,1948,70,男,有时,说不上幸福不幸福
2018,1965,53,女,有时,比较幸福
2018,1984,34,女,总是,非常不幸福
2018,1962,56,男,从不,比较幸福
2018,1956,62,男,有时,非常幸福
2018,1982,36,女,有时,说不上幸福不幸福
2018,1966,52,女,从不,比较幸福
2018,1974,44,女,从不,非常幸福
2018,1984,34,男,从不,比较幸福
2018,1958,60,男,从不,非常幸福
2018,1991,27,女,有时,比较幸福
2018,1946,72,女,很少,比较幸福
2018,1972,46,男,很少,说不上幸福不幸福
2018,1988,30,女,从不,比较幸福
2018,1976,42,女,很少,说不上幸福不幸福
2018,1951,67,男,有时,比较幸福
2018,1955,63,女,很少,说不上幸福不幸福
2018,1971,47,男,总是,说不上幸福不幸福
2018,1949,69,男,从不,比较幸福
2018,1968,50,男,从不,非常幸福
2018,1984,34,女,有时,比较幸福
2018,1946,72,男,从不,比较幸福
2018,1945,73,女,从不,比较幸福
2018,1989,29,女,有时,比较幸福
2018,1983,35,男,有时,说不上幸福不幸福
2018,1964,54,女,从不,比较幸福
2018,1978,40,男,有时,比较幸福
2018,1975,43,女,从不,比较幸福
2018,1959,59,女,有时,比较幸福
2018,1963,55,男,有时,说不上幸福不幸福
2018,1981,37,男,有时,比较幸福
2018,1955,63,女,从不,非常幸福
2018,1955,63,男,很少,比较幸福
2018,1963,55,女,从不,非常幸福
2018,1976,42,女,总是,说不上幸福不幸福
2018,1958,60,男,从不,比较幸福
2018,1965,53,男,有时,比较幸福
2018,1985,33,女,很少,说不上幸福不幸福
2018,1976,42,男,从不,比较幸福
2018,1988,30,男,从不,比较幸福
2018,1980,38,男,从不,比较幸福
2018,1982,36,男,从不,非常幸福
